"species","lbd_control_BIOME182795","lbd_BIOME186184","lbd_control_BIOME186381","lbd_BIOME186385","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus","group"
"Dorea_sp_AF36_15AT",0.0497155698243399,0,0,0,0.0346955650055145,0.016075512584503,1.10892640735469,0.0198794422236876,0.491380715359753,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","LBD>Control"
"Eubacterium_ramulus",0.126039106598401,0,0,0,0,0.0361548022576736,-10.8241890973228,0.00559508764331522,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","LBD<Control"
"Eubacterium_rectale",0.445061741654557,0,0.164275343888514,0.158214621443221,0.0638406725679336,0.103185441464727,-0.692519794024199,0.0360153712481954,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified","LBD<Control"
"GGB2653_SGB3574",0.0137772341226672,0,0.0216211223711308,0.0330696006190678,0,0.0120294244358997,-9.23816441866347,0.0030554507305816,0.312631868221538,"Bacteria","Firmicutes","CFGB1011","OFGB1011","FGB1011","GGB2653","LBD<Control"
"GGB9480_SGB14874",0.0997601111688082,0.112280414335461,0.209175638837627,0.0918197457357799,0,0.0728855498507762,-11.8352335609026,0.00325837273659166,0.312631868221538,"Bacteria","Firmicutes","CFGB3012","OFGB3012","FGB3012","GGB9480","LBD<Control"
"GGB9522_SGB14921",0,0,0,0,0.0141814527649881,0,9.47523956382509,0.00250757107710487,0.312631868221538,"Bacteria","Firmicutes","CFGB79291","OFGB79291","FGB79291","GGB9522","LBD>Control"
"GGB9760_SGB15373",0,0,0,0,0,0.0311418236644633,-10.6089833286292,0.0403275196662439,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","GGB9760","LBD<Control"
"Hungatella_hathewayi",0,0.0255996733729499,0.00928991388219505,0.0148767034102679,0.0094022645386415,0,8.88334434470777,0.0150471588458747,0.491380715359753,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Hungatella","LBD>Control"
"Intestinimonas_butyriciproducens",0,0,0.00727330347297753,0.0111087831847779,0,0.00993495179365496,-8.96268522511327,0.0125531831253183,0.491380715359753,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Intestinimonas","LBD<Control"
"Longicatena_caecimuris",0,0.0724214344689249,0.0784603280095692,0,0,0.0153107263115404,-9.58562744582278,0.0202647704704299,0.491380715359753,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longicatena","LBD<Control"
"Oscillospiraceae_bacterium_CLA_AA_H250",0.0895091117912614,0,0,0.0476688619354657,0.118940233379528,0,12.5416127593439,0.00530281878296873,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified","LBD>Control"
"Phocaeicola_dorei",0.125814788393049,0.0299711379472527,0,0,0,0.00954477358369086,-8.90500143289226,0.0328864568330842,0.52504790428527,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","LBD<Control"
"Roseburia_hominis",0.0186397572169809,0,0.0324649109540312,0.0138892903149782,0.0216373027465284,0.0427072388037354,-0.980304066548581,0.000888347961937217,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","LBD<Control"
